Embarked,Pclass,Fare,Sex,Age,Survived
2,3,7.25,0,22.0,0
0,1,71.2833,1,38.0,1
2,3,7.925,1,26.0,1
2,1,53.1,1,35.0,1
2,3,8.05,0,35.0,0
1,3,8.4583,0,21.0,0
2,1,51.8625,0,54.0,0
2,3,21.075,0,2.0,0
2,3,11.1333,1,27.0,1
0,2,30.0708,1,14.0,1
2,3,16.7,1,4.0,1
2,1,26.55,1,58.0,1
2,3,8.05,0,20.0,0
2,3,31.275,0,39.0,0
2,3,7.8542,1,14.0,0
2,2,16.0,1,55.0,1
1,3,29.125,0,2.0,0
2,2,13.0,0,32.0,1
2,3,18.0,1,31.0,0
0,3,7.225,1,45.0,1
2,2,26.0,0,35.0,0
2,2,13.0,0,34.0,1
1,3,8.0292,1,15.0,1
2,1,35.5,0,28.0,1
2,3,21.075,1,8.0,0
2,3,31.3875,1,38.0,1
0,3,7.225,0,28.0,0
2,1,263.0,0,19.0,0
1,3,7.8792,1,35.0,1
2,3,7.8958,0,25.0,0
0,1,27.7208,0,40.0,0
0,1,146.5208,1,57.0,1
1,3,7.75,1,38.0,1
2,2,10.5,0,66.0,0
0,1,82.1708,0,28.0,0
2,1,52.0,0,42.0,0
0,3,7.2292,0,40.5,1
2,3,8.05,0,21.0,0
2,3,18.0,1,18.0,0
0,3,11.2417,1,14.0,1
2,3,9.475,1,40.0,0
2,2,21.0,1,27.0,0
0,3,7.8958,0,24.0,0
0,2,41.5792,1,3.0,1
1,3,7.8792,1,19.0,1
2,3,8.05,0,24.0,0
1,3,15.5,0,22.0,0
1,3,7.75,1,45.0,1
0,3,21.6792,0,21.0,0
2,3,17.8,1,18.0,0
2,3,39.6875,0,7.0,0
2,3,7.8,0,21.0,0
0,1,76.7292,1,49.0,1
2,2,26.0,1,29.0,1
0,1,61.9792,0,65.0,0
2,1,35.5,0,45.5,1
2,2,10.5,1,21.0,1
0,3,7.2292,0,28.5,0
2,2,27.75,1,5.0,1
2,3,46.9,0,11.0,0
0,3,7.2292,0,22.0,0
0,1,80.0,1,38.0,1
2,1,83.475,0,45.0,0
2,3,27.9,0,4.0,0
0,1,27.7208,0,40.0,0
0,3,15.2458,0,7.0,1
2,2,10.5,1,29.0,1
2,3,8.1583,0,19.0,0
2,3,7.925,1,17.0,1
2,3,8.6625,0,26.0,0
2,2,10.5,0,32.0,0
2,3,46.9,1,16.0,0
2,2,73.5,0,21.0,0
0,3,14.4542,0,26.0,0
2,3,56.4958,0,32.0,1
2,3,7.65,0,25.0,0
2,3,7.8958,0,26.0,0
2,3,8.05,0,26.0,0
2,2,29.0,0,0.83,1
2,3,12.475,1,30.0,1
2,3,9.0,0,22.0,0
2,3,9.5,0,29.0,1
1,3,7.7875,1,64.0,1
2,1,47.1,0,28.0,0
2,2,10.5,1,17.0,1
2,3,15.85,1,33.0,1
2,3,34.375,0,16.0,0
2,3,8.05,0,39.0,0
2,1,263.0,1,23.0,1
2,3,8.05,0,24.0,0
2,3,8.05,0,29.0,0
2,3,7.8542,0,20.0,0
2,1,61.175,0,46.0,0
2,3,20.575,0,26.0,0
2,3,7.25,0,59.0,0
2,3,8.05,0,33.0,0
0,1,34.6542,0,71.0,0
0,1,63.3583,0,23.0,1
2,2,23.0,1,34.0,1
2,2,26.0,0,34.0,0
2,3,7.8958,1,28.0,0
2,3,7.8958,0,26.0,0
2,1,77.2875,0,21.0,0
2,3,8.6542,0,33.0,0
2,3,7.925,0,37.0,0
2,3,7.8958,0,28.0,0
2,3,7.65,1,21.0,1
2,3,7.775,0,24.0,1
2,3,7.8958,0,38.0,0
1,3,24.15,1,14.0,1
2,1,52.0,0,47.0,0
0,3,14.4542,1,14.5,0
2,3,8.05,0,22.0,0
2,3,9.825,1,20.0,0
0,3,14.4583,1,17.0,0
2,3,7.925,0,21.0,0
1,3,7.75,0,70.5,0
2,2,21.0,0,29.0,0
0,1,247.5208,0,24.0,0
2,3,31.275,1,2.0,0
2,2,73.5,0,21.0,0
2,3,8.05,0,33.0,0
0,2,30.0708,0,32.5,0
2,2,13.0,1,32.5,1
2,1,77.2875,0,54.0,0
0,3,11.2417,0,12.0,1
1,3,7.75,0,31.0,0
2,3,7.1417,0,24.0,1
0,3,22.3583,1,20.0,1
2,3,6.975,0,45.0,0
0,3,7.8958,0,33.0,0
2,3,7.05,0,20.0,0
2,3,14.5,1,47.0,0
2,2,26.0,1,29.0,1
2,2,13.0,0,25.0,0
0,2,15.0458,0,23.0,0
2,1,26.2833,1,19.0,1
2,1,53.1,0,37.0,0
2,3,9.2167,0,16.0,0
0,1,79.2,0,24.0,0
0,3,15.2458,1,45.5,0
2,3,7.75,1,22.0,1
2,3,15.85,1,24.0,1
1,3,6.75,0,19.0,0
2,2,11.5,0,18.0,0
2,2,36.75,0,19.0,0
2,3,7.7958,0,27.0,1
2,3,34.375,1,9.0,0
2,2,26.0,0,36.5,0
2,2,13.0,0,42.0,0
2,2,12.525,0,51.0,0
2,1,66.6,1,22.0,1
2,3,8.05,0,55.5,0
2,3,14.5,0,40.5,0
2,3,7.3125,0,28.0,0
0,1,61.3792,0,51.0,0
1,3,7.7333,1,16.0,1
2,3,8.05,0,30.0,0
2,3,8.6625,0,18.0,0
2,3,69.55,0,14.5,0
2,3,16.1,0,44.0,0
2,2,15.75,1,40.0,1
2,3,7.775,0,26.0,0
2,3,8.6625,0,17.0,0
2,3,39.6875,0,1.0,0
2,3,20.525,0,9.0,1
2,1,55.0,1,30.0,1
2,3,27.9,1,45.0,0
2,1,25.925,0,50.0,0
2,3,56.4958,0,28.0,0
2,1,33.5,0,61.0,0
1,3,29.125,0,4.0,0
2,3,11.1333,1,1.0,1
2,3,7.925,0,21.0,0
0,1,30.6958,0,56.0,0
2,3,7.8542,0,18.0,0
2,3,25.4667,0,2.0,0
0,1,28.7125,1,50.0,0
2,2,13.0,0,30.0,0
2,3,0.0,0,36.0,0
2,3,69.55,1,14.0,0
0,2,15.05,0,59.0,0
2,3,31.3875,0,9.0,0
2,2,39.0,0,1.0,1
2,3,22.025,1,4.0,1
2,1,50.0,0,46.0,0
1,3,15.5,1,45.0,1
2,1,26.55,0,45.0,1
1,3,15.5,0,40.0,0
2,3,7.8958,0,36.0,0
2,2,13.0,1,32.0,1
2,2,13.0,0,19.0,0
2,3,7.8542,1,19.0,1
2,2,26.0,0,3.0,1
0,1,27.7208,1,44.0,1
0,1,146.5208,1,58.0,1
1,3,7.75,0,25.0,0
2,3,8.4042,0,42.0,0
1,3,7.75,1,35.0,1
2,2,13.0,1,24.0,0
2,3,9.5,0,28.0,0
2,3,69.55,0,16.0,0
2,3,6.4958,0,34.0,0
0,3,7.225,0,45.5,0
2,3,8.05,0,18.0,1
2,3,10.4625,1,2.0,0
2,3,15.85,0,32.0,0
0,3,18.7875,0,26.0,1
1,3,7.75,1,16.0,1
0,1,31.0,0,40.0,1
2,3,7.05,0,24.0,0
2,2,21.0,1,35.0,1
2,3,7.25,0,22.0,0
2,2,13.0,0,30.0,0
1,3,7.75,0,30.5,0
0,1,113.275,1,31.0,1
2,3,7.925,1,27.0,1
2,2,27.0,0,42.0,0
0,1,76.2917,1,32.0,1
2,2,10.5,0,30.0,0
2,3,8.05,0,16.0,1
2,2,13.0,0,27.0,0
2,3,8.05,0,51.0,0
2,3,7.8958,0,28.0,0
2,1,90.0,0,38.0,1
2,3,9.35,0,22.0,0
2,2,10.5,0,19.0,1
2,3,7.25,0,20.5,0
2,2,13.0,0,18.0,0
2,3,25.4667,1,6.0,0
2,1,83.475,1,35.0,1
2,3,7.775,0,29.0,0
2,2,13.5,0,59.0,0
2,3,31.3875,1,5.0,1
2,2,10.5,0,24.0,0
2,3,7.55,1,19.0,0
2,2,26.0,0,44.0,0
2,2,26.25,1,8.0,1
2,2,10.5,0,19.0,0
2,2,12.275,0,33.0,0
0,3,14.4542,1,16.0,0
1,3,15.5,1,14.0,1
2,2,10.5,0,29.0,0
2,3,7.125,0,22.0,0
0,3,7.225,0,30.0,0
1,1,90.0,0,44.0,0
2,3,7.775,1,25.0,0
2,2,14.5,1,24.0,1
2,1,52.5542,0,37.0,1
2,2,26.0,0,54.0,0
2,3,7.25,0,47.0,0
2,3,10.4625,1,29.0,0
2,1,26.55,0,62.0,0
2,3,16.1,0,30.0,0
2,3,20.2125,1,41.0,0
0,3,15.2458,1,29.0,1
0,1,79.2,1,44.0,1
2,1,86.5,1,30.0,1
0,1,512.3292,1,35.0,1
2,2,26.0,1,50.0,1
1,3,7.75,0,40.5,0
2,3,31.3875,0,3.0,1
2,1,79.65,0,52.0,0
2,1,0.0,0,40.0,0
1,3,7.75,1,23.0,0
2,2,10.5,0,36.0,0
2,3,39.6875,0,16.0,0
2,3,7.775,0,25.0,1
2,1,153.4625,1,58.0,1
2,1,135.6333,1,35.0,1
2,1,31.0,0,48.0,0
2,3,0.0,0,25.0,1
2,2,19.5,1,41.0,1
0,1,29.7,0,37.0,0
1,3,7.75,1,16.0,1
2,1,77.9583,1,63.0,1
2,3,7.75,1,45.0,0
2,2,0.0,0,54.0,0
1,3,29.125,0,7.0,0
2,3,20.25,1,35.0,1
1,3,7.75,0,65.0,0
2,3,7.8542,0,28.0,0
2,3,9.5,0,16.0,0
2,3,8.05,0,19.0,1
2,1,26.0,0,51.0,0
0,3,8.6625,0,33.0,0
2,3,9.5,0,30.0,1
2,3,7.8958,0,22.0,0
2,2,13.0,0,42.0,1
1,3,7.75,1,22.0,1
2,1,78.85,1,26.0,1
0,1,91.0792,1,19.0,1
0,2,12.875,0,36.0,0
2,3,8.85,1,24.0,0
2,3,7.8958,0,24.0,0
0,1,27.7208,0,31.0,0
0,3,7.2292,0,23.5,0
2,1,151.55,1,2.0,0
2,1,30.5,0,26.0,1
0,1,247.5208,1,50.0,1
1,3,7.75,1,24.0,1
1,3,23.25,0,17.0,1
2,3,0.0,0,19.0,0
1,2,12.35,1,31.0,1
2,3,8.05,0,20.0,0
2,1,151.55,0,0.92,1
0,1,110.8833,1,36.0,1
0,1,108.9,1,17.0,1
0,2,24.0,0,30.0,0
0,1,56.9292,1,30.0,1
0,1,83.1583,1,24.0,1
0,1,262.375,1,18.0,1
2,2,26.0,1,26.0,0
2,3,7.8958,0,28.0,0
2,2,26.25,0,43.0,0
2,3,7.8542,1,26.0,1
2,2,26.0,1,24.0,1
2,2,14.0,0,54.0,0
2,1,164.8667,1,31.0,1
0,1,134.5,1,40.0,1
2,3,7.25,0,22.0,0
2,3,7.8958,0,27.0,0
1,2,12.35,1,30.0,1
2,2,29.0,1,22.0,1
2,3,69.55,0,24.0,0
0,1,135.6333,1,36.0,1
2,3,6.2375,0,61.0,0
2,2,13.0,1,36.0,1
2,3,20.525,1,31.0,1
0,1,57.9792,1,16.0,1
1,3,23.25,1,17.0,1
2,1,28.5,0,45.5,0
2,1,153.4625,0,38.0,0
2,3,18.0,0,16.0,0
2,1,133.65,1,36.0,1
2,3,7.8958,0,16.0,0
2,1,66.6,0,29.0,0
0,1,134.5,1,41.0,1
2,3,8.05,0,45.0,1
2,1,35.5,0,45.0,0
2,2,26.0,0,2.0,1
2,1,263.0,1,24.0,1
2,2,13.0,0,28.0,0
2,2,13.0,0,25.0,0
2,2,13.0,0,36.0,0
2,2,13.0,1,24.0,1
2,2,13.0,1,40.0,1
2,3,16.1,1,24.0,1
2,3,15.9,0,3.0,1
2,3,8.6625,0,42.0,0
2,3,9.225,0,23.0,0
2,1,35.0,0,47.0,0
0,3,7.2292,0,15.0,0
2,3,17.8,0,25.0,0
0,3,7.225,0,22.0,0
2,3,9.5,0,28.0,0
2,1,55.0,1,22.0,1
2,2,13.0,1,38.0,0
1,3,7.8792,1,19.0,1
1,3,7.8792,1,37.0,1
2,3,27.9,0,40.0,0
0,2,27.7208,0,29.0,0
0,3,14.4542,1,45.0,0
2,3,7.05,0,35.0,0
1,3,15.5,0,31.0,0
2,3,7.25,0,30.0,0
0,1,75.25,1,60.0,1
0,3,7.2292,1,24.0,1
1,3,7.75,1,22.0,1
0,1,69.3,1,24.0,1
0,1,55.4417,0,25.0,1
2,3,6.4958,0,18.0,0
2,3,8.05,0,19.0,0
0,1,135.6333,0,22.0,0
2,3,21.075,1,3.0,0
0,1,82.1708,1,59.0,1
2,3,7.25,1,22.0,1
0,1,211.5,0,27.0,0
0,3,4.0125,0,20.0,0
2,3,7.775,0,19.0,0
0,1,227.525,1,42.0,1
0,3,15.7417,1,1.0,1
2,3,7.925,0,32.0,0
2,1,52.0,1,35.0,1
2,3,7.8958,0,30.0,0
2,2,73.5,0,18.0,0
2,3,46.9,0,1.0,0
2,2,13.0,1,36.0,1
1,3,7.7292,0,18.0,0
0,2,12.0,1,17.0,1
2,1,120.0,0,36.0,1
2,3,7.7958,0,21.0,1
2,3,7.925,0,28.0,0
0,1,113.275,1,23.0,1
2,3,16.7,1,24.0,1
2,3,7.7958,0,22.0,0
2,3,7.8542,1,31.0,0
2,2,26.0,0,46.0,0
2,2,10.5,0,23.0,0
2,2,12.65,1,28.0,1
2,3,7.925,0,39.0,1
2,3,8.05,0,26.0,0
2,3,9.825,1,21.0,0
2,3,15.85,0,28.0,0
2,3,8.6625,1,20.0,0
2,2,21.0,0,34.0,0
2,3,7.75,0,51.0,0
2,2,18.75,0,3.0,1
2,3,7.775,0,21.0,0
2,3,25.4667,1,22.0,0
2,3,7.8958,0,25.0,0
1,3,6.8583,0,24.0,0
1,1,90.0,1,33.0,1
2,2,0.0,0,47.0,0
2,3,7.925,0,44.0,1
2,3,8.05,1,63.0,0
2,2,32.5,1,34.0,1
2,2,13.0,1,18.0,1
2,2,13.0,0,30.0,0
2,3,24.15,1,10.0,0
0,3,7.8958,0,26.0,0
1,3,7.7333,0,21.0,0
2,3,7.875,0,29.0,0
2,3,14.4,1,28.0,0
2,3,20.2125,0,18.0,0
2,3,7.25,0,22.0,0
2,2,26.0,1,28.0,1
2,2,26.0,1,19.0,1
1,3,7.75,0,38.0,0
2,3,8.05,0,32.0,1
2,1,26.55,0,28.0,1
2,3,16.1,1,22.0,1
2,2,26.0,1,42.0,1
2,3,7.125,0,17.0,0
2,1,55.9,0,50.0,0
2,1,120.0,1,14.0,1
2,3,34.375,1,21.0,0
2,2,18.75,1,24.0,1
2,1,263.0,0,64.0,0
2,2,10.5,0,31.0,0
2,2,26.25,1,45.0,1
2,3,9.5,0,20.0,0
2,3,7.775,0,25.0,0
2,2,13.0,1,28.0,1
2,3,8.1125,0,26.0,1
