Embarked,Pclass,Fare,Sex,Age,Survived
2,1,81.8583,0,4.0,1
2,2,19.5,1,13.0,1
2,1,26.55,0,34.0,1
0,3,19.2583,1,5.0,1
2,1,30.5,0,52.0,1
2,2,27.75,0,36.0,0
2,3,19.9667,0,25.0,0
0,1,27.75,0,30.0,0
0,1,89.1042,0,49.0,1
2,3,8.05,0,24.0,0
0,3,7.8958,0,29.0,1
2,1,26.55,0,65.0,0
2,1,51.8625,1,47.0,1
2,2,10.5,1,50.0,1
1,3,7.75,0,28.0,0
2,1,26.55,0,48.0,1
2,3,8.05,0,34.0,0
2,1,38.5,0,47.0,0
2,2,13.0,0,48.0,0
2,3,8.05,0,20.0,0
2,3,7.05,0,38.0,0
2,2,0.0,0,30.0,0
2,1,26.55,0,56.0,0
1,3,7.725,0,34.5,0
0,3,19.2583,1,0.75,1
2,3,7.25,0,20.0,0
2,3,8.6625,0,38.0,0
2,2,27.75,1,33.0,1
0,2,13.7917,1,23.0,1
2,3,9.8375,1,22.0,0
2,1,52.0,0,31.0,0
2,2,21.0,0,34.0,0
2,3,7.0458,0,29.0,0
2,3,7.5208,0,22.0,0
2,3,12.2875,1,2.0,1
2,3,46.9,0,9.0,0
2,2,0.0,0,35.0,0
2,3,8.05,0,50.0,0
2,3,9.5875,1,63.0,1
0,1,91.0792,0,25.0,1
2,3,25.4667,1,3.0,0
2,1,90.0,1,35.0,1
0,1,29.7,0,58.0,0
2,3,8.05,0,30.0,0
2,3,15.9,0,9.0,1
2,3,19.9667,0,28.0,0
2,3,7.25,0,21.0,0
2,1,30.5,0,55.0,0
0,1,49.5042,0,71.0,0
2,3,8.05,0,21.0,0
0,3,14.4583,0,32.0,0
0,1,78.2667,1,54.0,1
2,3,15.1,0,34.0,0
2,1,151.55,1,25.0,0
2,3,7.7958,0,24.0,0
2,3,8.6625,0,17.0,0
1,3,7.75,1,21.0,0
1,3,7.6292,1,30.0,0
2,3,9.5875,1,37.0,0
2,1,86.5,1,16.0,1
0,1,108.9,0,18.0,0
2,2,26.0,1,33.0,1
2,1,26.55,0,36.0,1
2,3,22.525,0,28.0,0
2,3,56.4958,0,26.0,1
1,3,7.75,0,29.0,1
2,3,8.05,0,24.0,0
2,1,26.2875,0,36.0,1
0,1,59.4,1,54.0,1
2,3,7.4958,0,24.0,0
2,1,34.0208,0,47.0,0
2,2,10.5,1,34.0,1
1,3,24.15,0,74.0,0
2,2,26.0,1,36.0,1
2,3,7.8958,0,32.0,0
2,1,93.5,1,30.0,1
2,3,7.8958,0,22.0,0
0,3,7.225,0,29.0,0
0,1,57.9792,1,44.0,1
0,3,7.2292,0,25.0,0
1,3,7.75,0,40.5,0
2,2,10.5,1,50.0,1
2,1,221.7792,0,40.0,0
2,3,7.925,0,39.0,0
2,2,11.5,0,23.0,0
2,2,26.0,1,2.0,1
0,3,7.2292,0,30.0,0
0,3,7.2292,0,17.0,0
0,3,22.3583,1,30.0,1
2,3,8.6625,1,30.0,0
2,2,26.25,1,7.0,1
2,1,26.55,0,45.0,0
0,1,106.425,1,30.0,1
2,3,14.5,0,22.0,0
0,1,49.5,1,22.0,1
2,1,71.0,1,36.0,1
2,3,31.275,1,9.0,0
2,3,31.275,1,11.0,0
2,2,26.0,0,32.0,1
0,1,106.425,0,50.0,0
2,1,26.0,0,64.0,0
2,2,26.0,1,19.0,1
0,2,13.8625,0,30.0,1
2,3,20.525,0,33.0,0
2,2,36.75,0,8.0,1
0,1,110.8833,0,17.0,1
2,2,26.0,0,27.0,0
1,3,7.8292,0,21.0,0
0,3,7.225,0,22.0,1
2,3,7.775,1,22.0,1
2,1,26.55,0,62.0,0
0,1,39.6,1,48.0,1
0,1,227.525,0,30.0,0
2,1,79.65,1,39.0,1
2,3,17.4,1,36.0,1
1,3,7.75,0,27.0,0
2,3,7.8958,0,40.0,0
2,2,13.5,0,28.0,0
2,3,8.05,0,20.0,0
2,3,8.05,1,20.0,0
2,3,24.15,0,24.0,0
2,3,7.8958,0,19.0,0
2,3,21.075,1,29.0,0
0,3,7.2292,0,21.0,0
2,3,7.8542,0,32.0,1
2,2,10.5,0,62.0,1
2,1,51.4792,1,53.0,1
2,1,26.3875,0,36.0,1
1,3,7.75,1,21.0,1
2,3,8.05,0,16.0,0
2,3,14.5,0,19.0,0
2,2,13.0,1,34.0,1
2,1,55.9,1,39.0,1
0,3,14.4583,1,16.0,0
2,3,7.925,0,32.0,1
2,2,30.0,1,25.0,1
0,1,110.8833,1,39.0,1
2,2,26.0,0,54.0,0
0,1,40.125,0,36.0,0
0,3,8.7125,0,21.0,0
2,1,79.65,1,18.0,1
2,2,15.0,0,47.0,0
0,1,79.2,0,60.0,1
2,3,8.05,0,22.0,0
2,3,8.05,0,22.0,0
2,3,7.125,0,35.0,0
0,1,78.2667,1,52.0,1
2,3,7.25,0,47.0,0
1,3,7.75,1,32.0,0
2,2,26.0,0,37.0,0
2,3,24.15,0,36.0,0
2,2,33.0,1,32.0,1
2,3,0.0,0,49.0,0
0,3,7.225,0,34.0,0
0,1,56.9292,0,49.0,1
2,2,27.0,1,24.0,1
2,3,7.8958,0,26.0,0
2,1,42.4,0,45.0,0
2,3,8.05,0,44.0,0
0,1,26.55,0,35.0,1
2,3,15.55,0,36.0,0
2,3,7.8958,0,30.0,0
2,1,30.5,0,27.0,1
0,2,41.5792,1,22.0,1
2,1,153.4625,1,40.0,1
2,3,31.275,1,39.0,0
2,3,7.05,0,16.0,0
1,3,15.5,1,23.0,1
1,3,7.75,0,65.0,0
2,3,8.05,0,35.0,0
2,2,65.0,1,24.0,1
2,3,14.4,0,34.0,0
2,3,16.1,1,26.0,0
2,2,39.0,1,4.0,1
2,2,10.5,0,26.0,0
0,3,14.4542,0,27.0,0
2,1,52.5542,0,42.0,1
0,3,15.7417,0,20.0,1
2,3,7.8542,0,21.0,0
2,3,16.1,0,21.0,0
2,1,32.3208,0,61.0,0
1,2,12.35,0,57.0,0
2,1,77.9583,1,21.0,1
2,3,7.8958,0,26.0,0
1,3,7.7333,0,33.0,0
2,1,30.0,0,80.0,1
2,3,7.0542,0,51.0,0
0,1,30.5,0,32.0,1
2,1,0.0,0,62.0,0
2,3,27.9,1,9.0,0
2,2,13.0,1,28.0,1
2,3,7.925,0,32.0,0
2,2,26.25,0,31.0,0
2,3,39.6875,1,41.0,0
2,3,16.1,0,26.0,0
2,3,7.8542,0,20.0,0
0,1,69.3,1,24.0,1
2,3,27.9,1,2.0,0
2,3,56.4958,0,23.5,1
0,3,19.2583,1,0.75,1
0,1,76.7292,0,48.0,1
2,3,7.8958,0,19.0,0
0,1,35.5,0,56.0,1
2,3,7.55,0,22.0,0
2,3,7.55,1,23.0,1
2,3,7.8958,0,24.0,0
2,2,23.0,1,18.0,1
2,3,8.4333,0,21.0,0
1,3,7.8292,1,22.0,1
1,3,6.75,1,18.0,0
2,2,73.5,0,24.0,0
2,3,7.8958,0,29.0,0
1,3,15.5,1,32.0,0
2,2,13.0,0,23.0,0
0,1,113.275,0,58.0,0
2,1,133.65,0,50.0,1
0,3,7.225,0,40.0,0
2,1,25.5875,0,47.0,0
2,3,7.4958,0,36.0,0
2,3,7.925,0,20.0,1
2,2,73.5,0,32.0,0
2,2,13.0,0,25.0,0
2,3,7.775,0,22.0,0
2,3,8.05,0,43.0,0
2,1,52.0,1,34.0,1
2,2,39.0,1,40.0,1
2,1,52.0,0,31.0,0
2,2,10.5,0,70.0,0
2,2,13.0,0,31.0,1
2,2,0.0,0,26.0,0
2,3,7.775,0,18.0,0
2,3,8.05,0,24.5,0
2,3,9.8417,1,18.0,1
2,3,46.9,1,43.0,0
0,1,512.3292,0,36.0,1
1,3,8.1375,1,18.5,0
0,1,76.7292,0,27.0,1
2,3,9.225,0,20.0,0
2,3,46.9,0,14.0,0
2,2,39.0,0,60.0,0
0,2,41.5792,0,25.0,0
2,3,39.6875,0,14.0,0
2,3,10.1708,0,19.0,0
2,3,7.7958,0,18.0,0
2,1,211.3375,1,15.0,1
2,1,57.0,0,31.0,1
0,3,13.4167,1,4.0,1
2,3,56.4958,0,20.5,1
0,3,7.225,0,25.0,0
2,1,26.55,0,60.0,0
2,2,13.5,0,52.0,0
2,3,8.05,0,44.0,0
1,3,7.7333,1,20.0,1
0,1,110.8833,0,49.0,0
2,3,7.65,0,42.0,0
0,1,227.525,1,18.0,1
2,1,26.2875,0,35.0,1
0,3,14.4542,1,18.0,0
1,3,7.7417,0,25.0,0
2,3,7.8542,0,26.0,0
2,2,26.0,0,39.0,0
2,2,13.5,1,45.0,1
2,1,26.2875,0,42.0,1
2,1,151.55,1,22.0,1
0,3,15.2458,0,3.0,1
0,1,49.5042,1,24.0,1
2,1,26.55,0,48.0,0
2,1,52.0,0,48.0,1
2,3,9.4833,0,29.0,0
2,2,13.0,0,52.0,0
2,3,7.65,0,19.0,0
0,1,227.525,1,38.0,1
2,2,10.5,1,27.0,1
1,3,15.5,0,29.0,0
2,3,7.775,0,33.0,0
2,2,33.0,1,6.0,1
2,3,7.0542,0,17.0,0
2,2,13.0,0,34.0,0
2,2,13.0,0,50.0,0
2,1,53.1,0,27.0,1
2,3,8.6625,0,20.0,0
2,2,21.0,1,30.0,1
1,3,7.7375,1,22.0,1
2,2,26.0,0,25.0,0
2,3,7.925,1,25.0,0
2,1,211.3375,1,29.0,1
0,3,18.7875,0,11.0,0
2,2,0.0,0,52.0,0
2,2,13.0,0,23.0,0
2,2,13.0,0,23.0,0
2,3,16.1,0,28.5,0
2,3,34.375,1,48.0,0
0,1,512.3292,0,35.0,1
2,3,7.8958,0,27.0,0
2,3,7.8958,0,30.5,0
2,1,30.0,0,80.0,1
2,1,78.85,0,36.0,0
0,1,262.375,1,21.0,1
2,3,16.1,0,24.0,0
2,3,7.925,0,31.0,1
2,1,71.0,0,70.0,0
2,3,20.25,0,16.0,0
2,2,13.0,1,30.0,1
2,1,53.1,0,19.0,0
1,3,7.75,0,31.0,0
2,2,23.0,1,4.0,1
2,3,12.475,0,6.0,1
2,3,9.5,0,33.0,0
2,3,7.8958,0,23.0,0
2,2,65.0,1,48.0,1
2,2,14.5,0,0.67,1
2,3,7.7958,0,28.0,0
2,2,11.5,0,18.0,0
2,3,8.05,0,34.0,0
2,1,86.5,1,33.0,1
2,3,14.5,0,40.0,0
2,3,7.125,0,41.0,0
0,3,7.2292,0,20.0,1
2,1,120.0,1,36.0,1
2,3,7.775,0,16.0,0
2,1,77.9583,1,51.0,1
0,1,39.6,0,61.0,0
1,3,7.75,1,30.5,0
1,3,24.15,0,70.5,0
2,3,8.3625,0,32.0,0
2,3,9.5,0,24.0,0
2,3,7.8542,0,48.0,0
2,2,10.5,1,57.0,0
0,3,7.225,0,25.0,0
2,2,23.0,1,54.0,1
2,3,7.75,0,18.0,0
1,3,7.75,0,22.0,0
2,3,12.475,1,5.0,1
1,3,7.7375,0,21.0,0
2,1,211.3375,1,43.0,1
0,3,7.2292,1,13.0,1
2,1,57.0,1,17.0,1
2,1,30.0,0,29.0,0
2,3,23.45,0,28.5,0
2,3,7.05,0,25.0,0
2,3,7.25,0,25.0,0
2,3,7.4958,1,18.0,1
1,3,29.125,0,8.0,0
2,3,20.575,0,1.0,1
0,1,79.2,0,46.0,0
1,3,7.75,0,19.0,0
2,2,26.0,0,16.0,0
2,3,69.55,1,6.0,0
0,1,30.6958,0,39.0,0
2,3,7.8958,0,25.0,0
2,2,13.0,0,39.0,0
2,1,25.9292,1,49.0,1
2,3,8.6833,1,31.0,1
0,3,7.2292,0,30.0,0
2,3,24.15,1,30.0,0
2,2,13.0,0,34.0,0
2,2,26.25,1,31.0,1
2,1,120.0,0,11.0,1
0,3,8.5167,0,0.42,1
2,3,6.975,0,27.0,1
2,3,7.775,0,31.0,0
2,1,0.0,0,39.0,0
2,3,7.775,1,18.0,0
2,2,13.0,0,39.0,0
2,1,53.1,1,33.0,1
2,3,7.8875,0,26.0,0
2,3,24.15,0,39.0,0
2,2,10.5,0,35.0,0
2,3,31.275,1,6.0,0
2,3,8.05,0,30.5,0
2,1,0.0,0,46.0,0
2,3,7.925,1,23.0,0
0,2,37.0042,0,31.0,0
2,3,6.45,0,43.0,0
2,3,27.9,0,10.0,0
2,1,93.5,1,52.0,1
2,3,8.6625,0,27.0,1
2,1,0.0,0,38.0,0
2,3,12.475,1,27.0,1
2,3,39.6875,0,2.0,0
1,3,6.95,0,20.5,0
2,3,56.4958,0,27.0,0
0,2,37.0042,0,1.0,1
1,3,7.75,0,61.0,1
0,1,80.0,1,62.0,1
0,3,14.4542,1,15.0,1
2,2,18.75,0,0.83,1
0,3,7.2292,0,19.0,0
2,3,7.8542,0,23.0,0
2,3,8.3,0,18.0,0
0,1,83.1583,1,39.0,1
2,3,8.6625,0,21.0,0
2,3,8.05,0,20.0,0
2,3,56.4958,0,32.0,1
0,1,29.7,0,46.0,1
2,3,7.925,0,20.0,0
2,2,10.5,0,16.0,0
0,1,31.0,1,30.0,1
0,3,6.4375,0,34.5,0
2,3,8.6625,0,17.0,0
2,3,7.55,0,42.0,0
2,3,69.55,0,16.0,0
0,3,7.8958,0,35.0,0
2,2,33.0,0,28.0,0
0,1,89.1042,1,35.0,1
2,3,31.275,0,4.0,0
2,3,7.775,0,74.0,0
0,3,15.2458,1,9.0,0
2,1,39.4,1,16.0,1
2,2,26.0,1,44.0,0
2,3,9.35,1,18.0,1
2,1,164.8667,1,45.0,1
2,1,26.55,0,51.0,1
0,3,19.2583,1,24.0,1
0,3,7.2292,0,28.0,0
2,3,14.1083,0,41.0,0
2,2,11.5,0,21.0,0
2,1,25.9292,1,48.0,1
2,3,69.55,1,10.0,0
2,2,13.0,0,24.0,0
2,2,13.0,1,42.0,1
0,2,13.8583,1,27.0,1
2,1,50.4958,0,31.0,0
2,3,9.5,0,18.0,0
2,3,11.1333,0,4.0,1
2,3,7.8958,0,26.0,0
2,1,52.5542,1,47.0,1
2,1,5.0,0,33.0,0
2,3,9.0,0,47.0,0
0,2,24.0,1,28.0,1
0,3,7.225,1,15.0,1
2,3,9.8458,0,20.0,0
2,3,7.8958,0,19.0,0
2,3,7.8958,0,36.0,0
0,1,83.1583,1,56.0,1
2,2,26.0,1,25.0,1
2,3,7.8958,0,33.0,0
2,3,10.5167,1,22.0,0
2,2,10.5,0,28.0,0
2,3,7.05,0,25.0,0
1,3,29.125,1,39.0,0
2,2,13.0,0,27.0,0
2,1,30.0,1,19.0,1
2,3,23.45,1,18.0,0
0,1,30.0,0,26.0,1
1,3,7.75,0,32.0,0
