User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,19,19000,no
15810944,Male,35,20000,no
15668575,Female,26,43000,no
15603246,Female,27,57000,no
15804002,Male,19,76000,no
15728773,Male,27,58000,no
15598044,Female,27,84000,no
15694829,Female,32,150000,yes
15600575,Male,25,33000,no
15727311,Female,35,65000,no
15570769,Female,26,80000,no
15606274,Female,26,52000,no
15746139,Male,20,86000,no
15704987,Male,32,18000,no
15628972,Male,18,82000,no
15697686,Male,29,80000,no
15733883,Male,47,25000,yes
15617482,Male,45,26000,yes
15704583,Male,46,28000,yes
15621083,Female,48,29000,yes
15649487,Male,45,22000,yes
15736760,Female,47,49000,yes
15714658,Male,48,41000,yes
15599081,Female,45,22000,yes
15705113,Male,46,23000,yes
15631159,Male,47,20000,yes
15792818,Male,49,28000,yes
15633531,Female,47,30000,yes
15744529,Male,29,43000,no
15669656,Male,31,18000,no
15581198,Male,31,74000,no
15729054,Female,27,137000,yes
15573452,Female,21,16000,no
15776733,Female,28,44000,no
15724858,Male,27,90000,no
15713144,Male,35,27000,no
15690188,Female,33,28000,no
15689425,Male,30,49000,no
15671766,Female,26,72000,no
15782806,Female,27,31000,no
15764419,Female,27,17000,no
15591915,Female,33,51000,no
15772798,Male,35,108000,no
15792008,Male,30,15000,no
15715541,Female,28,84000,no
15639277,Male,23,20000,no
15798850,Male,25,79000,no
15776348,Female,27,54000,no
15727696,Male,30,135000,yes
15793813,Female,31,89000,no
15694395,Female,24,32000,no
15764195,Female,18,44000,no
15744919,Female,29,83000,no
15671655,Female,35,23000,no
15654901,Female,27,58000,no
15649136,Female,24,55000,no
15775562,Female,23,48000,no
15807481,Male,28,79000,no
15642885,Male,22,18000,no
15789109,Female,32,117000,no
15814004,Male,27,20000,no
15673619,Male,25,87000,no
15595135,Female,23,66000,no
15583681,Male,32,120000,yes
15605000,Female,59,83000,no
15718071,Male,24,58000,no
15679760,Male,24,19000,no
15654574,Female,23,82000,no
15577178,Female,22,63000,no
15595324,Female,31,68000,no
15756932,Male,25,80000,no
15726358,Female,24,27000,no
15595228,Female,20,23000,no
15782530,Female,33,113000,no
15592877,Male,32,18000,no
15651983,Male,34,112000,yes
15746737,Male,18,52000,no
15774179,Female,22,27000,no
15667265,Female,28,87000,no
15655123,Female,26,17000,no
15595917,Male,30,80000,no
15668385,Male,39,42000,no
15709476,Male,20,49000,no
15711218,Male,35,88000,no
15798659,Female,30,62000,no
15663939,Female,31,118000,yes
15694946,Male,24,55000,no
15631912,Female,28,85000,no
15768816,Male,26,81000,no
15682268,Male,35,50000,no
15684801,Male,22,81000,no
15636428,Female,30,116000,no
15809823,Male,26,15000,no
15699284,Female,29,28000,no
15786993,Female,29,83000,no
15709441,Female,35,44000,no
15710257,Female,35,25000,no
15582492,Male,28,123000,yes
15575694,Male,35,73000,no
15756820,Female,28,37000,no
15766289,Male,27,88000,no
15593014,Male,28,59000,no
15584545,Female,32,86000,no
15675949,Female,33,149000,yes
15672091,Female,19,21000,no
15801658,Male,21,72000,no
15706185,Female,26,35000,no
15789863,Male,27,89000,no
15720943,Male,26,86000,no
15697997,Female,38,80000,no
15665416,Female,39,71000,no
15660200,Female,37,71000,no
15619653,Male,38,61000,no
15773447,Male,37,55000,no
15739160,Male,42,80000,no
15689237,Male,40,57000,no
15679297,Male,35,75000,no
15591433,Male,36,52000,no
15642725,Male,40,59000,no
15701962,Male,41,59000,no
15811613,Female,36,75000,no
15741049,Male,37,72000,no
15724423,Female,40,75000,no
15574305,Male,35,53000,no
15678168,Female,41,51000,no
15697020,Female,39,61000,no
15610801,Male,42,65000,no
15745232,Male,26,32000,no
15722758,Male,30,17000,no
15792102,Female,26,84000,no
15675185,Male,31,58000,no
15801247,Male,33,31000,no
15725660,Male,30,87000,no
15638963,Female,21,68000,no
15800061,Female,28,55000,no
15578006,Male,23,63000,no
15668504,Female,20,82000,no
15687491,Male,30,107000,yes
15610403,Female,28,59000,no
15741094,Male,19,25000,no
15807909,Male,19,85000,no
15666141,Female,18,68000,no
15617134,Male,35,59000,no
15783029,Male,30,89000,no
15622833,Female,34,25000,no
15746422,Female,24,89000,no
15750839,Female,27,96000,yes
15749130,Female,41,30000,no
15779862,Male,29,61000,no
15767871,Male,20,74000,no
15679651,Female,26,15000,no
15576219,Male,41,45000,no
15699247,Male,31,76000,no
15619087,Female,36,50000,no
15605327,Male,40,47000,no
15610140,Female,31,15000,no
15791174,Male,46,59000,no
15602373,Male,29,75000,no
15762605,Male,26,30000,no
15598840,Female,32,135000,yes
15744279,Male,32,100000,yes
15670619,Male,25,90000,no
15599533,Female,37,33000,no
15757837,Male,35,38000,no
15697574,Female,33,69000,no
15578738,Female,18,86000,no
15762228,Female,22,55000,no
15614827,Female,35,71000,no
15789815,Male,29,148000,yes
15579781,Female,29,47000,no
15587013,Male,21,88000,no
15570932,Male,34,115000,no
15794661,Female,26,118000,no
15581654,Female,34,43000,no
15644296,Female,34,72000,no
15614420,Female,23,28000,no
15609653,Female,35,47000,no
15594577,Male,25,22000,no
15584114,Male,24,23000,no
15673367,Female,31,34000,no
15685576,Male,26,16000,no
15774727,Female,31,71000,no
15694288,Female,32,117000,yes
15603319,Male,33,43000,no
15759066,Female,33,60000,no
15814816,Male,31,66000,no
15724402,Female,20,82000,no
15571059,Female,33,41000,no
15674206,Male,35,72000,no
15715160,Male,28,32000,no
15730448,Male,24,84000,no
15662067,Female,19,26000,no
15779581,Male,29,43000,no
15662901,Male,19,70000,no
15689751,Male,28,89000,no
15667742,Male,34,43000,no
15738448,Female,30,79000,no
15680243,Female,20,36000,no
15745083,Male,26,80000,no
15708228,Male,35,22000,no
15628523,Male,35,39000,no
15708196,Male,49,74000,no
15735549,Female,39,134000,yes
15809347,Female,41,71000,no
15660866,Female,58,101000,yes
15766609,Female,47,47000,no
15654230,Female,55,130000,yes
15794566,Female,52,114000,no
15800890,Female,40,142000,yes
15697424,Female,46,22000,no
15724536,Female,48,96000,yes
15735878,Male,52,150000,yes
15707596,Female,59,42000,no
15657163,Male,35,58000,no
15622478,Male,47,43000,no
15779529,Female,60,108000,yes
15636023,Male,49,65000,no
15582066,Male,40,78000,no
15666675,Female,46,96000,no
15732987,Male,59,143000,yes
15789432,Female,41,80000,no
15663161,Male,35,91000,yes
15694879,Male,37,144000,yes
15593715,Male,60,102000,yes
15575002,Female,35,60000,no
15622171,Male,37,53000,no
15795224,Female,36,126000,yes
15685346,Male,56,133000,yes
15691808,Female,40,72000,no
15721007,Female,42,80000,yes
15794253,Female,35,147000,yes
15694453,Male,39,42000,no
15813113,Male,40,107000,yes
15614187,Male,49,86000,yes
15619407,Female,38,112000,no
15646227,Male,46,79000,yes
15660541,Male,40,57000,no
15753874,Female,37,80000,no
15617877,Female,46,82000,no
15772073,Female,53,143000,yes
15701537,Male,42,149000,yes
15736228,Male,38,59000,no
15780572,Female,50,88000,yes
15769596,Female,56,104000,yes
15586996,Female,41,72000,no
15722061,Female,51,146000,yes
15638003,Female,35,50000,no
15775590,Female,57,122000,yes
15730688,Male,41,52000,no
15753102,Female,35,97000,yes
15810075,Female,44,39000,no
15723373,Male,37,52000,no
15795298,Female,48,134000,yes
15584320,Female,37,146000,yes
15724161,Female,50,44000,no
15750056,Female,52,90000,yes
15609637,Female,41,72000,no
15794493,Male,40,57000,no
15569641,Female,58,95000,yes
15815236,Female,45,131000,yes
15811177,Female,35,77000,no
15680587,Male,36,144000,yes
15672821,Female,55,125000,yes
15767681,Female,35,72000,no
15600379,Male,48,90000,yes
15801336,Female,42,108000,yes
15721592,Male,40,75000,no
15581282,Male,37,74000,no
15746203,Female,47,144000,yes
15583137,Male,40,61000,no
15680752,Female,43,133000,no
15688172,Female,59,76000,yes
15791373,Male,60,42000,yes
15589449,Male,39,106000,yes
15692819,Female,57,26000,yes
15727467,Male,57,74000,yes
15734312,Male,38,71000,no
15764604,Male,49,88000,yes
15613014,Female,52,38000,yes
15759684,Female,50,36000,yes
15609669,Female,59,88000,yes
15685536,Male,35,61000,no
15750447,Male,37,70000,yes
15663249,Female,52,21000,yes
15638646,Male,48,141000,no
15734161,Female,37,93000,yes
15631070,Female,37,62000,no
15761950,Female,48,138000,yes
15649668,Male,41,79000,no
15713912,Female,37,78000,yes
15586757,Male,39,134000,yes
15596522,Male,49,89000,yes
15625395,Male,55,39000,yes
15760570,Male,37,77000,no
15566689,Female,35,57000,no
15725794,Female,36,63000,no
15673539,Male,42,73000,yes
15705298,Female,43,112000,yes
15675791,Male,45,79000,no
15747043,Male,46,117000,yes
15736397,Female,58,38000,yes
15678201,Male,48,74000,yes
15720745,Female,37,137000,yes
15637593,Male,37,79000,yes
15598070,Female,40,60000,no
15787550,Male,42,54000,no
15603942,Female,51,134000,no
15733973,Female,47,113000,yes
15596761,Male,36,125000,yes
15652400,Female,38,50000,no
15717893,Female,42,70000,no
15622585,Male,39,96000,yes
15733964,Female,38,50000,no
15753861,Female,49,141000,yes
15747097,Female,39,79000,no
15594762,Female,39,75000,yes
15667417,Female,54,104000,yes
15684861,Male,35,55000,no
15742204,Male,45,32000,yes
15623502,Male,36,60000,no
15774872,Female,52,138000,yes
15611191,Female,53,82000,yes
15674331,Male,41,52000,no
15619465,Female,48,30000,yes
15575247,Female,48,131000,yes
15695679,Female,41,60000,no
15713463,Male,41,72000,no
15785170,Female,42,75000,no
15796351,Male,36,118000,yes
15639576,Female,47,107000,yes
15693264,Male,38,51000,no
15589715,Female,48,119000,yes
15769902,Male,42,65000,no
15587177,Male,40,65000,no
15814553,Male,57,60000,yes
15601550,Female,36,54000,no
15664907,Male,58,144000,yes
15612465,Male,35,79000,no
15810800,Female,38,55000,no
15665760,Male,39,122000,yes
15588080,Female,53,104000,yes
15776844,Male,35,75000,no
15717560,Female,38,65000,no
15629739,Female,47,51000,yes
15729908,Male,47,105000,yes
15716781,Female,41,63000,no
15646936,Male,53,72000,yes
15768151,Female,54,108000,yes
15579212,Male,39,77000,no
15721835,Male,38,61000,no
15800515,Female,38,113000,yes
15591279,Male,37,75000,no
15587419,Female,42,90000,yes
15750335,Female,37,57000,no
15699619,Male,36,99000,yes
15606472,Male,60,34000,yes
15778368,Male,54,70000,yes
15671387,Female,41,72000,no
15573926,Male,40,71000,yes
15709183,Male,42,54000,no
15577514,Male,43,129000,yes
15778830,Female,53,34000,yes
15768072,Female,47,50000,yes
15768293,Female,42,79000,no
15654456,Male,42,104000,yes
15807525,Female,59,29000,yes
15574372,Female,58,47000,yes
15671249,Male,46,88000,yes
15779744,Male,38,71000,no
15624755,Female,54,26000,yes
15611430,Female,60,46000,yes
15774744,Male,60,83000,yes
15629885,Female,39,73000,no
15708791,Male,59,130000,yes
15793890,Female,37,80000,no
15646091,Female,46,32000,yes
15596984,Female,46,74000,no
15800215,Female,42,53000,no
15577806,Male,41,87000,yes
15749381,Female,58,23000,yes
15683758,Male,42,64000,no
15670615,Male,48,33000,yes
15715622,Female,44,139000,yes
15707634,Male,49,28000,yes
15806901,Female,57,33000,yes
15775335,Male,56,60000,yes
15724150,Female,49,39000,yes
15627220,Male,39,71000,no
15672330,Male,47,34000,yes
15668521,Female,48,35000,yes
15807837,Male,48,33000,yes
15592570,Male,47,23000,yes
15748589,Female,45,45000,yes
15635893,Male,60,42000,yes
15757632,Female,39,59000,no
15691863,Female,46,41000,yes
15706071,Male,51,23000,yes
15654296,Female,50,20000,yes
15755018,Male,36,33000,no
15594041,Female,49,36000,yes